Year,2019,2020,2021,2022
Bexar County,0,0.07305936073,0.1489361702,0.1132296296
San Antonio MSA,0,0.07851304348,0.1408622177,0.1307420495
4835 Lord Rd,0,0.1070162109,0.1151658402,0.1572175583
510 Alametos,0,0.06685926115,0.08979996392,0.2584919782
222 E Mitchell St,0,0.1120808052,0.08677714284,0.2923907717
