Property,Own First Car,Own Second Car,Average Cars Per Unit
txbeck,0.4931506849315068,0.0319634703196347,0.5251141552511416
txdecker,0.0825242718446602,0.024271844660194174,0.10679611650485438
txloyola,0.5507246376811594,0.021739130434782608,0.572463768115942
